"Fecha,""Codigo"",""Concepto"",""Tipo"",""Documento"",""Oficina"",""Monto"",""Saldo"""
"22/05/2019,""001055"",""45878173-CAPREMCI-PT-creditos 200520"",""D"",""0001715735"",""AG. NORTE"",""1,303.45"",""192,191.68"""
"22/05/2019,""001055"",""45878180-CAPREMCI-PT-devolucion inde"",""D"",""0001714874"",""AG. NORTE"",""291.99"",""193,495.13"""
"20/05/2019,""001055"",""45802125-COSTO IVA  CASH-PT-179170037600"",""D"",""0000100374"",""SERVICIOS CENTRALE(S)"",""0.04"",""193,787.12"""
"20/05/2019,""001055"",""45802125-COSTO OPER CASH-PT-179170037600"",""D"",""0000100370"",""SERVICIOS CENTRALE(S)"",""0.36"",""193,787.16"""
"20/05/2019,""001055"",""45810713-COSTO IVA  CASH-PT-179170037600"",""D"",""0000100363"",""SERVICIOS CENTRALE(S)"",""0.21"",""193,787.52"""
"20/05/2019,""001055"",""45810713-COSTO OPER CASH-PT-179170037600"",""D"",""0000100352"",""SERVICIOS CENTRALE(S)"",""1.79"",""193,787.73"""
"20/05/2019,""001055"",""45801983-COSTO IVA  CASH-PT-179170037600"",""D"",""0000100344"",""SERVICIOS CENTRALE(S)"",""0.04"",""193,789.52"""
"20/05/2019,""001055"",""45801983-COSTO OPER CASH-PT-179170037600"",""D"",""0000100341"",""SERVICIOS CENTRALE(S)"",""0.36"",""193,789.56"""
"17/05/2019,""001055"",""45810713-CAPREMCI-PT-creditos 170520"",""D"",""0013280052"",""AG. NORTE"",""9,803.31"",""193,789.92"""
"17/05/2019,""001055"",""45801983-CAPREMCI-PT-rendimientos 16"",""D"",""0009685438"",""AG. NORTE"",""176.56"",""203,593.23"""
"17/05/2019,""001055"",""45802125-CAPREMCI-PT-cesantias 16052"",""D"",""0009680035"",""AG. NORTE"",""780.38"",""203,769.79"""
"17/05/2019,""001055"",""45768594-COSTO IVA  CASH-PT-179170037600"",""D"",""0000403882"",""SERVICIOS CENTRALE(S)"",""0.13"",""204,550.17"""
"17/05/2019,""001055"",""45768594-COSTO OPER CASH-PT-179170037600"",""D"",""0000403877"",""SERVICIOS CENTRALE(S)"",""1.07"",""204,550.30"""
"17/05/2019,""001055"",""45761258-COSTO IVA  CASH-PT-179170037600"",""D"",""0000403868"",""SERVICIOS CENTRALE(S)"",""0.26"",""204,551.37"""
"17/05/2019,""001055"",""45761258-COSTO OPER CASH-PT-179170037600"",""D"",""0000403858"",""SERVICIOS CENTRALE(S)"",""2.14"",""204,551.63"""
"16/05/2019,""004255"",""PAGO MEER TRF   00000000200004421489"",""D"",""0013392749"",""AG. NORTE"",""337.87"",""204,553.77"""
"16/05/2019,""001794"",""IVA MEER TRF"",""D"",""0013392749"",""AG. NORTE"",""0.04"",""204,891.64"""
"16/05/2019,""001791"",""COM MEER TRF"",""D"",""0013392749"",""AG. NORTE"",""0.31"",""204,891.68"""
"16/05/2019,""001055"",""45768594-CAPREMCI-PT-rendimientos 14"",""D"",""0011052415"",""AG. NORTE"",""2,745.04"",""204,891.99"""
"16/05/2019,""001055"",""45761258-CAPREMCI-PT-creditos 150520"",""D"",""0011051073"",""AG. NORTE"",""13,669.46"",""207,637.03"""
"16/05/2019,""001055"",""45749603-COSTO OPER CASH-0Y-3343660504"",""D"",""0002718226"",""AGENCIA PARA PROCESOS BATCH"",""0.27"",""221,306.49"""
"16/05/2019,""001050"",""IVA COBRADO"",""D"",""0002718226"",""AGENCIA PARA PROCESOS BATCH"",""0.03"",""221,306.76"""
"16/05/2019,""001045"",""45749603 F.C.P.C. DE EMPLE 0Y 0489959850"",""C"",""0002718197"",""AGENCIA PARA PROCESOS BATCH"",""150,000.00"",""221,306.79"""
"16/05/2019,""001055"",""45736128-COSTO IVA  CASH-PT-179170037600"",""D"",""0000398457"",""SERVICIOS CENTRALE(S)"",""0.04"",""71,306.79"""
"16/05/2019,""001055"",""45736128-COSTO OPER CASH-PT-179170037600"",""D"",""0000398425"",""SERVICIOS CENTRALE(S)"",""0.36"",""71,306.83"""
"15/05/2019,""001055"",""45736128-CAPREMCI-PT-ANTICIPO SUELDO"",""D"",""0015112887"",""AG. NORTE"",""1,800.00"",""71,307.19"""
"15/05/2019,""001055"",""45710678-MEGADATOS ECUAN-CB-179170037600"",""D"",""0011777116"",""CENTRO SERVIC. OPERAT. SS. QTO"",""108.64"",""73,107.19"""
"15/05/2019,""001055"",""45695751-COSTO IVA  CASH-PT-179170037600"",""D"",""0000458839"",""SERVICIOS CENTRALE(S)"",""0.09"",""73,215.83"""
"15/05/2019,""001055"",""45695751-COSTO OPER CASH-PT-179170037600"",""D"",""0000458833"",""SERVICIOS CENTRALE(S)"",""0.71"",""73,215.92"""
"15/05/2019,""001055"",""45695136-COSTO IVA  CASH-PT-179170037600"",""D"",""0000458826"",""SERVICIOS CENTRALE(S)"",""0.04"",""73,216.63"""
"15/05/2019,""001055"",""45695136-COSTO OPER CASH-PT-179170037600"",""D"",""0000458821"",""SERVICIOS CENTRALE(S)"",""0.36"",""73,216.67"""
"14/05/2019,""001055"",""45695751-CAPREMCI-PT-CREDITOS GYE 14"",""D"",""0015207927"",""AG. NORTE"",""10,105.18"",""73,217.03"""
"14/05/2019,""001055"",""45695136-CAPREMCI-PT-seminario lider"",""D"",""0015207810"",""AG. NORTE"",""501.90"",""83,322.21"""
